"Date","Price","Open","High","Low","Vol.","Change %"
"10/10/2022","1.1055","1.1084","1.1113","1.1019","","-0.26%"
"10/07/2022","1.1084","1.1163","1.1227","1.1055","","-0.66%"
"10/06/2022","1.1158","1.1328","1.1385","1.1114","","-1.48%"
"10/05/2022","1.1326","1.1476","1.1496","1.1226","","-1.28%"
"10/04/2022","1.1473","1.1325","1.1490","1.1280","","1.33%"
"10/03/2022","1.1322","1.1161","1.1336","1.1085","","1.45%"
"09/30/2022","1.1160","1.1115","1.1236","1.1023","","0.40%"
"09/29/2022","1.1115","1.0886","1.1121","1.0761","","2.08%"
"09/28/2022","1.0888","1.0733","1.0917","1.0539","","1.46%"
"09/27/2022","1.0731","1.0690","1.0840","1.0653","","0.44%"
"09/26/2022","1.0684","1.0858","1.0933","1.0384","","-1.58%"
"09/23/2022","1.0856","1.1256","1.1275","1.0838","","-3.56%"
"09/22/2022","1.1257","1.1269","1.1366","1.1212","","-0.08%"
"09/21/2022","1.1266","1.1376","1.1386","1.1237","","-0.99%"
"09/20/2022","1.1379","1.1434","1.1462","1.1356","","-0.44%"
"09/19/2022","1.1429","1.1417","1.1444","1.1354","","0.15%"
"09/16/2022","1.1412","1.1467","1.1482","1.1350","","-0.44%"
"09/15/2022","1.1463","1.1545","1.1551","1.1460","","-0.62%"
"09/14/2022","1.1535","1.1493","1.1591","1.1479","","0.38%"
"09/13/2022","1.1491","1.1692","1.1740","1.1491","","-1.61%"
"09/12/2022","1.1679","1.1596","1.1712","1.1595","","0.79%"
"09/09/2022","1.1587","1.1504","1.1649","1.1496","","0.76%"
"09/08/2022","1.1500","1.1528","1.1563","1.1459","","-0.22%"
"09/07/2022","1.1525","1.1521","1.1541","1.1405","","0.08%"
"09/06/2022","1.1516","1.1517","1.1610","1.1493","","0.03%"
"09/05/2022","1.1513","1.1518","1.1523","1.1443","","0.05%"
"09/02/2022","1.1507","1.1544","1.1590","1.1495","","-0.30%"
"09/01/2022","1.1542","1.1623","1.1627","1.1499","","-0.69%"
"08/31/2022","1.1622","1.1649","1.1695","1.1598","","-0.28%"
"08/30/2022","1.1655","1.1710","1.1762","1.1621","","-0.44%"
"08/29/2022","1.1707","1.1749","1.1754","1.1647","","-0.34%"
"08/26/2022","1.1747","1.1832","1.1902","1.1732","","-0.69%"
"08/25/2022","1.1829","1.1802","1.1866","1.1783","","0.27%"
"08/24/2022","1.1797","1.1841","1.1842","1.1755","","-0.29%"
"08/23/2022","1.1831","1.1777","1.1878","1.1717","","0.56%"
"08/22/2022","1.1765","1.1824","1.1839","1.1741","","-0.52%"
"08/19/2022","1.1827","1.1930","1.1942","1.1791","","-0.86%"
"08/18/2022","1.1930","1.2048","1.2081","1.1922","","-0.97%"
"08/17/2022","1.2047","1.2095","1.2143","1.2027","","-0.38%"
"08/16/2022","1.2093","1.2056","1.2119","1.2007","","0.32%"
"08/15/2022","1.2054","1.2133","1.2149","1.2049","","-0.63%"
"08/12/2022","1.2130","1.2209","1.2217","1.2099","","-0.67%"
"08/11/2022","1.2212","1.2228","1.2251","1.2181","","-0.11%"
"08/10/2022","1.2225","1.2077","1.2278","1.2064","","1.20%"
"08/09/2022","1.2080","1.2081","1.2132","1.2062","","0.03%"
"08/08/2022","1.2076","1.2072","1.2139","1.2046","","0.04%"
"08/05/2022","1.2071","1.2160","1.2170","1.2003","","-0.71%"
"08/04/2022","1.2157","1.2144","1.2200","1.2065","","0.12%"
"08/03/2022","1.2143","1.2178","1.2209","1.2099","","-0.24%"
"08/02/2022","1.2172","1.2246","1.2280","1.2157","","-0.62%"
"08/01/2022","1.2248","1.2165","1.2294","1.2155","","0.67%"
"07/29/2022","1.2166","1.2173","1.2247","1.2062","","-0.02%"
"07/28/2022","1.2169","1.2148","1.2193","1.2102","","0.15%"
"07/27/2022","1.2151","1.2030","1.2188","1.2019","","1.05%"
"07/26/2022","1.2025","1.2043","1.2092","1.1963","","-0.14%"
"07/25/2022","1.2042","1.2004","1.2087","1.1959","","0.33%"
"07/22/2022","1.2002","1.1995","1.2065","1.1916","","0.08%"
"07/21/2022","1.1993","1.1967","1.2005","1.1889","","0.20%"
"07/20/2022","1.1969","1.1990","1.2039","1.1953","","-0.22%"
"07/19/2022","1.1995","1.1954","1.2047","1.1924","","0.34%"
"07/18/2022","1.1954","1.1877","1.2035","1.1861","","0.86%"
"07/15/2022","1.1852","1.1823","1.1876","1.1804","","0.25%"
"07/14/2022","1.1822","1.1891","1.1897","1.1759","","-0.56%"
"07/13/2022","1.1889","1.1887","1.1968","1.1826","","0.03%"
"07/12/2022","1.1885","1.1886","1.1918","1.1806","","-0.03%"
"07/11/2022","1.1889","1.2029","1.2041","1.1865","","-1.15%"
"07/08/2022","1.2027","1.2025","1.2057","1.1918","","0.05%"
"07/07/2022","1.2021","1.1924","1.2031","1.1908","","0.76%"
"07/06/2022","1.1930","1.1959","1.1991","1.1875","","-0.23%"
"07/05/2022","1.1957","1.2108","1.2127","1.1898","","-1.22%"
"07/04/2022","1.2105","1.2105","1.2167","1.2083","","0.09%"
"07/01/2022","1.2094","1.2177","1.2183","1.1975","","-0.67%"
"06/30/2022","1.2175","1.2127","1.2190","1.2091","","0.41%"
"06/29/2022","1.2125","1.2183","1.2214","1.2105","","-0.47%"
"06/28/2022","1.2182","1.2265","1.2292","1.2179","","-0.67%"
"06/27/2022","1.2264","1.2264","1.2334","1.2237","","0.02%"
"06/24/2022","1.2262","1.2260","1.2321","1.2240","","0.02%"
"06/23/2022","1.2260","1.2269","1.2296","1.2169","","-0.05%"
"06/22/2022","1.2266","1.2276","1.2316","1.2161","","-0.05%"
"06/21/2022","1.2272","1.2257","1.2326","1.2241","","0.18%"
"06/20/2022","1.2250","1.2225","1.2282","1.2198","","0.21%"
"06/17/2022","1.2224","1.2354","1.2371","1.2172","","-1.03%"
"06/16/2022","1.2351","1.2185","1.2408","1.2040","","1.42%"
"06/15/2022","1.2178","1.1995","1.2206","1.1985","","1.54%"
"06/14/2022","1.1993","1.2130","1.2208","1.1933","","-1.16%"
"06/13/2022","1.2134","1.2327","1.2328","1.2106","","-1.46%"
"06/10/2022","1.2314","1.2495","1.2519","1.2300","","-1.41%"
"06/09/2022","1.2490","1.2541","1.2559","1.2486","","-0.39%"
"06/08/2022","1.2539","1.2593","1.2599","1.2512","","-0.39%"
"06/07/2022","1.2588","1.2532","1.2601","1.2429","","0.46%"
"06/06/2022","1.2530","1.2495","1.2579","1.2476","","0.36%"
"06/03/2022","1.2485","1.2579","1.2591","1.2484","","-0.72%"
"06/02/2022","1.2576","1.2485","1.2588","1.2468","","0.75%"
"06/01/2022","1.2482","1.2604","1.2618","1.2458","","-0.94%"
"05/31/2022","1.2600","1.2654","1.2657","1.2559","","-0.40%"
"05/30/2022","1.2650","1.2617","1.2661","1.2613","","0.27%"
"05/27/2022","1.2616","1.2599","1.2667","1.2585","","0.17%"
"05/26/2022","1.2594","1.2566","1.2622","1.2550","","0.24%"
"05/25/2022","1.2564","1.2531","1.2592","1.2480","","0.28%"
"05/24/2022","1.2529","1.2589","1.2600","1.2471","","-0.47%"
"05/23/2022","1.2588","1.2479","1.2602","1.2476","","0.81%"
"05/20/2022","1.2487","1.2464","1.2501","1.2437","","0.22%"
"05/19/2022","1.2460","1.2338","1.2526","1.2336","","0.99%"
"05/18/2022","1.2338","1.2493","1.2502","1.2329","","-1.22%"
"05/17/2022","1.2490","1.2317","1.2500","1.2316","","1.40%"
"05/16/2022","1.2317","1.2236","1.2331","1.2217","","0.46%"
"05/13/2022","1.2261","1.2200","1.2267","1.2155","","0.51%"
"05/12/2022","1.2199","1.2261","1.2262","1.2165","","-0.42%"
"05/11/2022","1.2250","1.2325","1.2401","1.2236","","-0.58%"
"05/10/2022","1.2322","1.2332","1.2377","1.2291","","-0.07%"
"05/09/2022","1.2331","1.2339","1.2407","1.2260","","-0.05%"
"05/06/2022","1.2337","1.2364","1.2382","1.2275","","-0.22%"
"05/05/2022","1.2364","1.2623","1.2637","1.2324","","-2.04%"
"05/04/2022","1.2621","1.2501","1.2640","1.2451","","0.98%"
"05/03/2022","1.2498","1.2493","1.2569","1.2470","","0.06%"
"05/02/2022","1.2491","1.2587","1.2599","1.2472","","-0.64%"
"04/29/2022","1.2571","1.2457","1.2616","1.2449","","0.92%"
"04/28/2022","1.2456","1.2555","1.2572","1.2410","","-0.73%"
