,neg_pos_volume_summary,candle_LZ,cumsum,cumsum_%_50_000,cumsum_%_TrueFalse
2022-12-14 09:00:00,neg,-7230.885160423049,-2047469.921720948,2530.0782790519297,True
2022-12-14 09:15:00,neg,-6053.317394380395,-2053523.2391153285,46476.76088467147,False
2022-12-14 10:30:00,neg,-13586.56289965215,-2067109.8020149807,32890.1979850193,False
2022-12-14 10:45:00,neg,-25365.323575090628,-2092475.1255900713,7524.874409928685,False
2022-12-14 11:00:00,neg,-19502.448718666426,-2111977.5743087376,38022.42569126235,False
2022-12-14 11:15:00,neg,-8816.032090694247,-2120793.606399432,29206.393600568175,False
2022-12-14 22:45:00,neg,-27744.943297943628,-2148538.5496973754,1461.4503026246093,True
2022-12-15 12:15:00,neg,-520.5830879636746,-2149059.132785339,940.8672146610916,True
2022-12-15 12:30:00,neg,-12301.531108809504,-2161360.6638941485,38639.33610585146,False
2022-12-15 12:45:00,neg,-8544.445417313176,-2169905.109311462,30094.890688538086,False
2022-12-15 14:15:00,neg,-5045.87230546411,-2174950.981616926,25049.018383074086,False
2022-12-15 14:30:00,neg,-4951.913010069363,-2179902.894626995,20097.105373004917,False
2022-12-15 20:15:00,neg,-18447.12052506314,-2198350.015152058,1649.9848479419015,True
2022-12-15 20:30:00,neg,-45817.89869675427,-2244167.913848812,5832.086151187774,True
2022-12-15 20:45:00,neg,-7991.833059150824,-2252159.746907963,47840.25309203705,False
2022-12-15 21:00:00,neg,-26546.01749295389,-2278705.7644009166,21294.23559908336,False
2022-12-15 21:15:00,neg,-45794.90954831571,-2324500.6739492323,25499.326050767675,False
2022-12-15 21:30:00,neg,-28771.095951363306,-2353271.769900596,46728.23009940423,False
2022-12-15 21:45:00,neg,-8502.8879544498,-2361774.6578550455,38225.342144954484,False
2022-12-16 19:30:00,neg,-10841.609630982774,-2372616.2674860284,27383.732513971627,False
2022-12-16 19:45:00,neg,-19923.864258291625,-2392540.13174432,7459.868255679961,False
2022-12-16 20:00:00,neg,-4932.427428152049,-2397472.559172472,2527.440827528015,True
2022-12-16 22:45:00,neg,-10545.347883174933,-2408017.907055647,41982.09294435289,False
2022-12-16 23:00:00,neg,-23866.411101872603,-2431884.3181575197,18115.68184248032,False
2022-12-16 23:15:00,neg,-23046.620564459412,-2454930.938721979,45069.06127802096,False
2022-12-16 23:30:00,neg,-9946.013649945447,-2464876.9523719246,35123.04762807535,False
2022-12-16 23:45:00,neg,-10772.422020355152,-2475649.37439228,24350.62560772011,False
2022-12-17 00:45:00,neg,-0.1992167113630371,-2475649.573608991,24350.426391008776,False
2022-12-17 01:00:00,neg,-2302.131060096503,-2477951.7046690877,22048.29533091234,False
2022-12-18 21:00:00,neg,-11.330611266713527,-2477963.0352803543,22036.96471964568,False
2022-12-19 02:45:00,neg,-449.8667567746009,-2478412.902037129,21587.097962871194,False
2022-12-19 03:00:00,neg,-4421.1461502379625,-2482834.0481873667,17165.951812633313,False
2022-12-19 03:15:00,neg,-4601.263266688471,-2487435.3114540554,12564.688545944635,False
2022-12-19 19:00:00,neg,-19090.72425453713,-2506526.0357085923,43473.96429140773,False
2022-12-19 19:15:00,neg,-11539.530123015462,-2518065.5658316077,31934.434168392327,False
2022-12-20 08:45:00,neg,-12890.54132058259,-2530956.10715219,19043.89284780994,False
2022-12-20 09:00:00,neg,-24255.435029006363,-2555211.5421811966,44788.45781880338,False
2022-12-20 09:15:00,neg,-12571.177837495272,-2567782.720018692,32217.27998130815,False
2022-12-21 18:15:00,neg,-877.5227393250001,-2568660.242758017,31339.757241982967,False
2022-12-21 20:00:00,neg,-3896.4756608748326,-2572556.718418892,27443.281581107993,False
2022-12-21 20:15:00,neg,-14871.5403268699,-2587428.258745762,12571.741254237946,False
2022-12-21 20:30:00,neg,-19936.99865963736,-2607365.2574053993,42634.742594600655,False
2022-12-21 20:45:00,neg,-7901.74672128089,-2615267.00412668,34732.99587331992,False
2022-12-21 21:15:00,neg,-3786.679579937479,-2619053.6837066174,30946.31629338255,False
2022-12-21 21:30:00,neg,-11483.571952500093,-2630537.2556591174,19462.744340882637,False
2022-12-22 20:15:00,neg,-5050.520671974688,-2635587.776331092,14412.223668907769,False
2022-12-22 20:30:00,neg,-2283.9063907703094,-2637871.6827218626,12128.31727813743,False
2022-12-22 20:45:00,neg,-5533.4466857941,-2643405.129407657,6594.870592343155,True
2022-12-22 21:15:00,neg,-5444.374791913219,-2648849.50419957,1150.4958004299551,True
2022-12-22 21:30:00,neg,-10125.011305727041,-2658974.515505297,41025.48449470289,False
2022-12-22 21:45:00,neg,-18883.119681429293,-2677857.635186726,22142.364813273773,False
2022-12-22 22:00:00,neg,-20930.80848776422,-2698788.4436744903,1211.5563255096786,True
2022-12-22 22:15:00,neg,-17031.304290401713,-2715819.747964892,34180.25203510793,False
2022-12-22 22:30:00,neg,-20790.95172254842,-2736610.6996874404,13389.300312559586,False
2022-12-22 22:45:00,neg,-40728.55530660295,-2777339.254994043,22660.74500595685,False
2022-12-22 23:00:00,neg,-14126.99432521745,-2791466.2493192605,8533.750680739526,False
2022-12-23 00:30:00,neg,-630.4641704123566,-2792096.7134896726,7903.286510327365,False
2022-12-23 00:45:00,neg,-370.85651566754336,-2792467.57000534,7532.429994659964,False
2022-12-23 04:00:00,neg,-5384.008024203682,-2797851.5780295436,2148.421970456373,True
2022-12-23 04:15:00,neg,-12228.182643071423,-2810079.760672615,39920.23932738509,False
2022-12-23 04:30:00,neg,-634.4791112357631,-2810714.2397838505,39285.7602161495,False
2022-12-23 17:45:00,neg,-1062.6253232883555,-2811776.8651071386,38223.13489286136,False
2022-12-24 00:00:00,neg,-240.33803646251783,-2812017.2031436013,37982.796856398694,False
2022-12-24 00:45:00,neg,-124.45106799770278,-2812141.654211599,37858.345788401086,False
2022-12-24 01:00:00,neg,-867.6505835404876,-2813009.3047951395,36990.69520486053,False
2022-12-27 17:15:00,neg,-4769.087637842727,-2817778.392432982,32221.607567017898,False
2022-12-27 17:30:00,neg,-16054.572849266788,-2833832.965282249,16167.034717751201,False
2022-12-27 17:45:00,neg,-10342.24785619587,-2844175.213138445,5824.786861555185,True
2022-12-28 19:00:00,neg,-12200.722955220297,-2856375.936093665,43624.063906334806,False
2022-12-28 19:15:00,neg,-12537.052427302468,-2868912.988520968,31087.011479032226,False
2022-12-28 19:30:00,neg,-3349.852654403182,-2872262.841175371,27737.15882462915,False
2022-12-28 19:45:00,neg,-2662.5121280228873,-2874925.353303394,25074.646696606185,False
2022-12-28 20:00:00,neg,-697.9564384803358,-2875623.309741874,24376.690258125775,False
2022-12-28 20:15:00,neg,-2118.846149318178,-2877742.1558911926,22257.84410880739,False
2022-12-28 22:15:00,neg,-2721.747697099084,-2880463.9035882917,19536.096411708277,False
2022-12-28 23:00:00,neg,-3954.088541637612,-2884417.9921299294,15582.007870070636,False
2022-12-28 23:15:00,neg,-11751.224440395816,-2896169.216570325,3830.783429674804,True
2022-12-28 23:30:00,neg,-14699.765792633909,-2910868.982362959,39131.01763704093,False
2022-12-28 23:45:00,neg,-21775.724277410627,-2932644.7066403697,17355.293359630276,False
2022-12-29 00:00:00,neg,-18041.74271914097,-2950686.4493595106,49313.55064048944,False
2022-12-29 00:15:00,neg,-16593.453756182742,-2967279.9031156935,32720.09688430652,False
2022-12-29 00:30:00,neg,-9281.943863164328,-2976561.8469788576,23438.153021142352,False
2022-12-29 00:45:00,neg,-7720.597835902858,-2984282.4448147607,15717.555185239296,False
2022-12-29 01:00:00,neg,-5802.383036159165,-2990084.8278509197,9915.172149080317,False
2022-12-29 01:15:00,neg,-649.3960395945812,-2990734.223890514,9265.776109485887,False
2022-12-29 01:30:00,neg,-404.4177228111546,-2991138.641613325,8861.358386674896,False
2022-12-29 01:45:00,neg,-3486.2194426515457,-2994624.8610559767,5375.138944023289,True
2022-12-29 02:00:00,neg,-2070.6570419716936,-2996695.5180979483,3304.481902051717,True
2022-12-29 02:15:00,neg,-2013.0460497844292,-2998708.5641477327,1291.4358522673137,True
2022-12-29 09:45:00,neg,-7357.6023767391625,-3006066.1665244717,43933.833475528285,False
2022-12-29 10:00:00,neg,-9321.119164416683,-3015387.2856888883,34612.71431111172,False
2022-12-29 10:15:00,neg,-8023.213371752357,-3023410.4990606406,26589.500939359423,False
2022-12-29 10:30:00,neg,-5780.244756131697,-3029190.7438167725,20809.256183227524,False
2022-12-29 10:45:00,neg,-8237.27937181806,-3037428.0231885905,12571.976811409462,False
2022-12-29 11:00:00,neg,-1009.1472908139542,-3038437.1704794043,11562.829520595726,False
2022-12-30 09:00:00,neg,-5448.8640037817295,-3043886.034483186,6113.965516814031,True
2022-12-30 09:15:00,neg,-10210.611873918571,-3054096.6463571046,45903.35364289535,False
2022-12-30 09:30:00,neg,-7043.874885170115,-3061140.521242275,38859.4787577251,False
2022-12-30 09:45:00,neg,-19531.36479632695,-3080671.886038602,19328.113961398136,False
2022-12-30 10:00:00,neg,-10992.380264158171,-3091664.26630276,8335.733697239775,False
2022-12-30 10:15:00,neg,-10889.820094453175,-3102554.0863972134,47445.913602786604,False
2022-12-30 10:30:00,neg,-7627.82626421048,-3110181.912661424,39818.08733857609,False
2022-12-30 10:45:00,neg,-19066.40745346245,-3129248.3201148864,20751.67988511361,False
2022-12-30 11:00:00,neg,-14490.012798318068,-3143738.3329132046,6261.667086795438,True
2022-12-30 16:45:00,neg,-2147.1098927012695,-3145885.442805906,4114.557194094174,True
2023-01-02 19:30:00,neg,-1242.673235551056,-3147128.116041457,2871.883958543185,True
2023-01-02 19:45:00,neg,-2419.9039798890585,-3149548.020021346,451.97997865406796,True
