<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
231025;214500;1.2119000;1.2123000;1.2116000;1.2118000;16468
231025;220000;1.2117000;1.2120000;1.2113000;1.2116000;15159
231025;221500;1.2116000;1.2119000;1.2113000;1.2116000;15462
231025;223000;1.2116000;1.2120000;1.2115000;1.2118000;13958
231025;224500;1.2118000;1.2120000;1.2114000;1.2116000;12545
231025;230000;1.2115000;1.2118000;1.2111000;1.2112000;10258
231025;231500;1.2111000;1.2114000;1.2109000;1.2112000;9253
231025;233000;1.2112000;1.2114000;1.2109000;1.2110000;8356
231025;234500;1.2110000;1.2111000;1.2106000;1.2109000;7300
231026;000000;1.2110000;1.2112000;1.2105000;1.2111000;10049
231026;001500;1.2110000;1.2113000;1.2106000;1.2108000;1464
231026;003000;1.2109000;1.2111000;1.2105000;1.2108000;1040
231026;004500;1.2109000;1.2112000;1.2107000;1.2110000;2995
231026;010000;1.2110000;1.2113000;1.2107000;1.2107000;4006
231026;011500;1.2108000;1.2109000;1.2102000;1.2104000;4957
231026;013000;1.2104000;1.2106000;1.2100000;1.2104000;9219
231026;014500;1.2105000;1.2106000;1.2103000;1.2103000;7904
231026;020000;1.2103000;1.2105000;1.2102000;1.2102000;6838
231026;021500;1.2103000;1.2104000;1.2099000;1.2100000;10584
231026;023000;1.2100000;1.2101000;1.2094000;1.2096000;8321
231026;024500;1.2095000;1.2098000;1.2094000;1.2097000;6733
231026;030000;1.2097000;1.2103000;1.2097000;1.2101000;7748
231026;031500;1.2101000;1.2105000;1.2100000;1.2103000;11335
231026;033000;1.2103000;1.2104000;1.2097000;1.2102000;9605
231026;034500;1.2101000;1.2104000;1.2096000;1.2098000;9954
231026;040000;1.2098000;1.2100000;1.2087000;1.2090000;14258
231026;041500;1.2090000;1.2092000;1.2087000;1.2089000;12295
231026;043000;1.2089000;1.2097000;1.2086000;1.2094000;14429
231026;044500;1.2095000;1.2100000;1.2093000;1.2096000;13794
231026;050000;1.2097000;1.2098000;1.2091000;1.2093000;11897
231026;051500;1.2094000;1.2095000;1.2089000;1.2090000;12643
231026;053000;1.2090000;1.2091000;1.2079000;1.2083000;13600
231026;054500;1.2082000;1.2088000;1.2080000;1.2086000;11663
231026;060000;1.2086000;1.2090000;1.2082000;1.2082000;11554
231026;061500;1.2082000;1.2085000;1.2077000;1.2077000;11143
231026;063000;1.2078000;1.2080000;1.2076000;1.2078000;8154
231026;064500;1.2078000;1.2083000;1.2076000;1.2079000;9993
231026;070000;1.2079000;1.2082000;1.2077000;1.2081000;10523
